"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","ED1","GA1","GA2","GA3","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"07116599999","1997-12-09T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","240,1,N,0051,1","00660,1,9,N","007000,1,N,1","+0100,1","+0090,1","99999,9","1,999",,"07,1,+00660,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-09T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","240,1,N,0072,1","00450,1,9,N","011265,1,N,1","+0130,1","+0110,1","99999,9","1,999",,"08,1,+00450,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-10T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","260,1,N,0087,1","00120,1,9,N","005000,1,N,1","+0140,1","+0130,1","99999,9","1,999",,"07,1,+00120,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10031,1,99999,9","51,1",,,"MET005NEW ;",
"07116599999","1997-12-10T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","260,1,N,0082,1","00120,1,9,N","003000,1,N,1","+0140,1","+0130,1","99999,9","1,999",,"08,1,+00120,9,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10071,1,99999,9","51,1",,,"MET005NEW ;",
"07116599999","1997-12-10T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","260,1,N,0077,1","06900,1,9,N","008000,1,N,1","+0140,1","+0120,1","99999,9","1,999",,"02,1,+00510,9,99,9","07,1,+06900,9,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-11T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","250,1,N,0082,1","00480,1,9,N","011265,1,N,1","+0130,1","+0110,1","99999,9","1,999",,"07,1,+00480,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10061,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-11T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","280,1,N,0098,1","22000,1,C,N","011265,1,N,1","+0120,1","+0100,1","99999,9","1,999",,"02,1,+00420,9,99,9","02,1,+00540,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10061,1,99999,9",,,"0170,1","MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-12T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","340,1,N,0072,1","00750,1,9,N","007000,1,N,1","+0100,1","+0050,1","99999,9","1,999",,"07,1,+00750,9,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-12T14:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","330,1,N,0041,1","22000,1,C,N","011265,1,N,1","+0100,1","+0040,1","99999,9","1,999",,"02,1,+00780,9,99,9","02,1,+00930,9,99,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10271,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
"07116599999","1997-12-14T11:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","120,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0050,1","+0030,1","99999,9","1,999",,,,,,"10301,1,99999,9",,,,"MET008NEW CAVO","Q01+000000PRSWM2"
"07116599999","1997-12-15T07:00:00","4","48.75","-3.467","91.0","LANNION, FR","FM-15","LFRO ","V020","090,1,N,0041,1","22000,1,C,N","011265,1,N,1","+0060,1","+0040,1","99999,9","1,999",,"02,1,+00900,9,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9",,,,"MET005NEW ;","Q01+000000PRSWM2"
