"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","AY1","GA1","GA2","GA3","GA4","GF1","MA1","MW1","OC1","REM","EQD"
"07301399999","1990-01-06T05:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00990,1,C,N","011200,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"03,1,+00120,9,07,9","08,1,+00990,9,05,9",,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T06:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00990,1,C,N","011200,1,N,1","+0070,1","+0070,1","99999,9","2,000",,"02,1,+00120,9,07,9","07,1,+00990,9,05,9",,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T07:20:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00990,1,C,N","011200,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"06,1,+00990,9,05,9",,,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T08:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00900,1,C,N","006000,1,N,1","+0070,1","+0060,1","99999,9","2,999",,"08,1,+00900,9,05,9",,,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T09:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00900,1,C,N","007000,1,N,1","+0070,1","+0070,1","99999,9","2,000",,"08,1,+00900,9,05,9",,,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T10:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0041,1","00900,1,C,N","008000,1,N,1","+0080,1","+0070,1","99999,9","2,999",,"08,1,+00900,9,05,9",,,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T11:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0041,1","00900,1,C,N","008000,1,N,1","+0090,1","+0080,1","99999,9","2,999",,"07,1,+00900,9,05,9",,,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T12:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","170,1,N,0031,1","00900,1,C,N","008000,1,N,1","+0100,1","+0080,1","99999,9","2,000",,"08,1,+00900,9,05,9",,,,,"10240,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T13:30:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00900,1,C,N","008000,1,N,1","+0110,1","+0080,1","99999,9","2,999",,"07,1,+00900,9,05,9",,,,,"10230,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T13:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00990,1,C,N","011200,1,N,1","+0120,1","+0080,1","99999,9","2,999",,"05,1,+00990,9,05,9","07,1,+07500,9,00,9",,,,"10220,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T15:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","130,1,N,0021,1","07500,1,C,N","011200,1,N,1","+0110,1","+0080,1","99999,9","2,000",,"04,1,+00990,9,05,9","07,1,+07500,9,00,9",,,,"10220,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-06T16:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0021,1","00990,1,C,N","008000,1,N,1","+0100,1","+0080,1","99999,9","2,999",,"05,1,+00990,9,05,9","07,1,+07500,9,00,9",,,,"10220,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-07T05:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0031,1","00090,1,C,N","004000,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"07,1,+00090,9,07,9",,,,,"10240,1,99999,9","61,1",,,
"07301399999","1990-01-07T06:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0031,1","00090,1,C,N","004000,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"07,1,+00090,9,07,9",,,,,"10240,1,99999,9","61,1",,,
"07301399999","1990-01-07T07:30:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0041,1","00090,1,C,N","004000,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"07,1,+00090,9,07,9",,,,,"10251,1,99999,9","61,1",,,
"07301399999","1990-01-07T07:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0041,1","00090,1,C,N","002000,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"08,1,+00090,9,07,9",,,,,"10261,1,99999,9","61,1",,,
"07301399999","1990-01-07T09:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0041,1","00090,1,C,N","002000,1,N,1","+0070,1","+0070,1","99999,9","2,007",,"08,1,+00090,9,07,9",,,,,"10271,1,99999,9","61,1",,,
"07301399999","1990-01-07T12:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0010,1","00090,1,C,N","002000,1,N,1","+0080,1","+0080,1","99999,9","2,001",,"08,1,+00090,9,07,9",,,,,"10281,1,99999,9","51,1",,,
"07301399999","1990-01-07T14:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","110,1,N,0010,1","00030,1,C,N","000500,1,N,1","+0080,1","+0080,1","99999,9","2,999",,"08,1,+00030,9,07,9",,,,,"10281,1,99999,9","46,1",,,
"07301399999","1990-01-07T16:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","130,1,N,0021,1","00030,1,C,N","000300,1,N,1","+0080,1","+0080,1","99999,9","2,999",,"08,1,+00030,9,07,9",,,,,"10301,1,99999,9","46,1",,,
"07301399999","1990-01-08T05:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","999,1,C,0000,1","22000,1,C,N","000100,1,N,1","+0020,1","+0020,1","99999,9","2,999",,,,,,,"10349,1,99999,9","44,1",,,
"07301399999","1990-01-08T06:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","999,1,C,0000,1","22000,1,C,N","000200,1,N,1","+0010,1","+0010,1","99999,9","2,000",,,,,,,"10349,1,99999,9","42,1",,,
"07301399999","1990-01-08T09:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","050,1,N,0010,1","22000,1,C,N","000100,1,N,1","+0000,1","+0000,1","99999,9","2,000",,,,,,,"10359,1,99999,9","44,1",,,
"07301399999","1990-01-08T10:20:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","140,1,N,0010,1","22000,1,C,N","000100,1,N,1","+0020,1","+0020,1","99999,9","2,999",,,,,,,"10369,1,99999,9","44,1",,,
"07301399999","1990-01-08T11:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","110,1,N,0010,1","22000,1,C,N","000400,1,N,1","+0050,1","+0050,1","99999,9","2,999",,"03,1,+01800,9,05,9",,,,,"10369,1,99999,9","42,1",,,
"07301399999","1990-01-08T13:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","999,1,C,0000,1","00990,1,C,N","006000,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"07,1,+00990,9,05,9",,,,,"10359,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-08T14:26:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","260,1,N,0010,1","00990,1,C,N","011200,1,N,1","+0090,1","+0070,1","99999,9","2,999",,"07,1,+00990,9,05,9",,,,,"10359,1,99999,9",,,,"Q01+000000PRSWM2"
